segment_id,program,title,start,duration,start_s,duration_s,end_s
4e2526e14df4c791284d21bd20d0ac61ec02263a,PROG_2020_00823730,Kreikkalais-roomalaisen painin kotimainen kärki harjoittelee  kilpailunomaisella harjoitusleirillä Kuortaneella. Haast Arvi Savolainen  (SU+). Haast Elias Kuosmanen (SU+). Painia. Haast päävalmentaja Marko Yli- Hannuksela (SU+).,00:00:14.160,00:02:04.640,14.16,124.64000000000001,138.8
732dab4376ec366ecd3fd8245c9a84fe7448d162,PROG_2020_00823730,Jääkiekon SM-liigan peliä (Cmore).  Puhelinhaast SM-liigan kilpailutoimenjohtaja Arto I Järvelä (SU-). ,00:02:18.840,00:00:56.920,138.84,56.91999999999999,195.76
483e5e166fd387a117410f4fac887212ad4293c5,PROG_2020_00823804,"Suomen Cupissa Vantaalla hiihdetään lumipyryssä, naisten hiihto. Kerttu Niskanen (SU+) haast. Naisten palkintojenjako. Suomen Cupissa Vantaalla hiihdetään lumipyryssä, miesten hiihto. Ristomatti Hakola (SU+) haast.",00:01:06.560,00:02:05.520,66.56,125.52000000000001,192.08
48c892139422bc4a573b35ffffd9b38d1dbcffc8,PROG_2020_00823804,Kalervo Kummola (SU-) puhelinhaast.,00:00:10.440,00:00:56.080,10.44,56.08,66.52
0e3855c1659f1961b1e52b31dac38f245f0c09a9,PROG_2020_00823937,Mäkyppyä: Antti Aallon hypyt Bischofshofenissa. Haast Tommi Nikunen (SU+). Hidastuksia hypyistä. Niko Kytösahon hyppy. ,00:03:25.160,00:02:23.440,205.16,143.44000000000003,348.6
6bd4b2d5ba2d7b6e24c4fa62185d77112ab09665,PROG_2020_00823937,"Krista Pärmäkoski hiihtää lähdössä ja maastossa Pärmäkoski tulee maaliin. Haast Krista Pärmäkoski (SU+) (maski). Kärjessä hiihtänyt Jessie Diggins kaatuu  4 kilometrin kohdalla alamäessä, muut hiihtäjät hiihtävät hänen ohitseen. Julia Stupak hiihtää voittaja maaliin ja tuulettaa. Haast Julia Stupak (EN+) (maski). Mitalikolmikko palkintokorokkeella. Johanna Matintalo hiihtää. Haast Johanna Matintalo (SU+) (maski). Hiihdon miesten takaa-ajoa. Aleksandr Bolshunov hiihtää voittoon. ",00:05:48.640,00:02:09.360,348.64,129.36,478.0
c2e1c1aa70469241a7287a201c7c1500e7aebeaa,PROG_2020_00823937,"Anton Lundell jakaa mitaleita muille joukkueen pelaajille. Jääkieko-ottelua Suomi - Venäjä, Lundellin 1-0 maali.  Anton Lundell (SU+) puhuu. Haast Jukka Jalonen (SU+). Suomen joukkue juhlii. ",00:00:39.440,00:02:24.320,39.44,144.32,183.76
0850e92d52ee1796771ef9c6df15ea362225ab8c,PROG_2020_00823938,Toim Laura Arffman (SU+) selostaa. Sami Jauhojärvi (SU+) haast.,00:07:39.320,00:01:29.520,459.32,89.52000000000004,548.84
1934354ad2233b7e19c202fb7f02f422aee24b67,PROG_2020_00823938,Heikki Hiltunen (SU-) puhelinhaast.  ,00:05:27.360,00:00:28.640,327.36,28.639999999999986,356.0
9b4b3066468437c8d1f1885fdc1e143ab6d52de4,PROG_2020_00823938,"Suora: toim Tommi Seppälä (SU+) selostaa. Dallasin peliä (viaplay), Tampa Bayn voitonjuhlintaa (viaplay).",00:02:57.760,00:02:29.560,177.76,149.56,327.32
